type,adname,location,name,address
风景名胜;风景名胜相关;旅游景点,双流区,"103.967400,30.320903",黄龙溪-川西民居文化长廊,\u9ec4\u9f99\u6eaa\u53e4\u9547\u666f\u533a
风景名胜;风景名胜;风景名胜,彭州市,"103.846900,31.118403",海窝子,\u5347\u5e73\u9547\u65b0\u5174\u9547\u4e2d\u573a(\u8fd1\u4e39\u666f\u5c71)
风景名胜;风景名胜;风景名胜,都江堰市,"103.557978,30.845579",天国山,\u4e24\u6cb3\u4e61
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.332894,30.635834",洛带会馆建筑群川北会馆,\u6d1b\u5e26\u53e4\u9547\u666f\u533a\u5185
风景名胜;风景名胜;纪念馆,彭州市,"104.034290,31.041370",尹昌衡故里,\u660c\u4ec0\u8def\u4e1c150\u7c73
风景名胜;风景名胜;国家级景点,彭州市,"103.911942,31.188811",四川龙门山国家地质公园飞来峰景区,\u767d\u9e7f\u9547\u5c0f\u592b\u8def
风景名胜;风景名胜;风景名胜,新都区,"104.131382,30.779314",南丝绸之路起点景区,\u84c9\u90fd\u5927\u9053\u4e0e\u84c9\u90fd\u5927\u9053\u5929\u56de\u8def\u4ea4\u53c9\u53e3\u897f100\u7c73
风景名胜;风景名胜;风景名胜,大邑县,"103.628078,30.506582",安仁古镇-安惠里古街,\u5b89\u4ec1\u9547\u5b89\u60e0\u91cc\u53e4\u8857
生活服务;丧葬设施;陵园,崇州市,"103.6654696,30.6496799",崇州市革命烈士陵园,\u68cb\u76d8\u67514\u7ec4
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.331332,30.636744",广东会馆,\u8001\u8857\u4e0a\u885759\u53f7
风景名胜;风景名胜;纪念馆,青羊区,"104.052656,30.664234",宽窄巷子文物挖掘遗址-张采芹故居,\u5bbd\u5df7\u5b5035\u53f7
风景名胜;风景名胜;纪念馆,邛崃市,"103.125608,30.308927",红军长征纪念馆,\u9ad8\u4f55\u9547\u9ad8\u5174\u6751\u4e09\u7ec4
风景名胜;风景名胜;国家级景点,都江堰市,"103.610529,31.003363",都江堰景区,\u516c\u56ed\u8def
风景名胜;风景名胜相关;旅游景点,双流区,"103.950798,30.493271",古井亭,\u5347\u5e73\u8857\u4e0e\u9ec4\u7532\u5927\u9053\u4ea4\u53c9\u53e3\u4e1c50\u7c73
购物服务;专卖店;专营店|生活服务;生活服务场所;生活服务场所,双流区,"104.045368,30.515167",峨眉山龙门洞(河池路),\u548c\u5e73\u8def\u4e8c\u8857\u4e0e\u6cb3\u6c60\u8def\u4ea4\u53c9\u53e3\u897f50\u7c73
风景名胜;风景名胜;寺庙道观,青羊区,"104.074379,30.672084",爱道堂,\u901a\u987a\u6865\u8857\u901a\u987a\u686534\u53f7
风景名胜;风景名胜;省级景点,邛崃市,"103.466085,30.416018",临邛古城,\u5927\u5317\u8857\u4e0e\u6b65\u884c\u8857\u4ea4\u53c9\u53e3\u897f100\u7c73
风景名胜;风景名胜;纪念馆,青羊区,"104.056204,30.657187",四川保路运动史事陈列馆,\u5c0f\u5357\u8857\u9644\u8fd1
风景名胜;风景名胜;纪念馆,锦江区,"104.124768,30.619106",李劼人故居,\u5916\u4e1c\u6c99\u6cb3\u5821\u83f1\u7aa0\u897f\u8def70\u53f7(\u5ddd\u5e08\u5927\u5317\u95e8\u9644\u8fd1)
风景名胜;风景名胜;风景名胜,都江堰市,"103.572616,30.913708",青城山-圆明宫,\u704c\u53bf\u897f\u5357\u7684\u9752\u57ce\u5c71\u4e2d\u6728\u9c7c\u5c71\u4e0a
风景名胜;风景名胜;寺庙道观,成华区,"104.110738,30.712412",仁守魁道祖师墓,\u4e1c\u4e3d\u8857138\u53f7\u91d1\u79d1\u4e00\u57ce\u9644\u8fd1
风景名胜;风景名胜;风景名胜,青羊区,"104.026939,30.660055",杜甫草堂-诗史堂,\u8349\u5802\u8def28\u53f7\u6210\u90fd\u675c\u752b\u8349\u5802\u535a\u7269\u9986\u5185
风景名胜;风景名胜;风景名胜,武侯区,"104.092315,30.631714",望江楼公园-薛涛墓,\u671b\u6c5f\u8def30\u53f7
风景名胜;风景名胜;寺庙道观,温江区,"103.865849,30.712105",大乘院,\u5929\u4e61\u8def\u4e00\u6bb5
风景名胜;风景名胜;风景名胜,彭州市,"103.931160,31.145387",冰川瀑布,\u845b\u4ed9\u5c71\u9547\u7199\u7389\u6751
生活服务;丧葬设施;陵园,双流区,"104.024780,30.359490",天府新区烈士陵园,\u5929\u5e9c\u65b0\u533a\u714e\u8336\u8857\u9053\u6cbf\u6eaa\u67513\u7ec4
风景名胜;风景名胜;风景名胜,青羊区,"104.072980,30.675013",文殊院-玉佛殿,\u6587\u6b8a\u9662\u885766\u53f7\u6587\u6b8a\u9662\u5185
风景名胜;风景名胜;风景名胜,都江堰市,"103.615928,30.997528",都江堰景区-明城墙,\u5357\u885769\u9644\u8fd1
体育休闲服务;娱乐场所;娱乐场所,武侯区,"103.987174,30.586479",浓园艺术村,\u851f\u6865\u6b66\u4faf\u5927\u9053\u65b0\u82d7\u67515\u7ec4
风景名胜;风景名胜;风景名胜,青羊区,"104.072918,30.674824",文殊院-圆通殿,\u6587\u6b8a\u9662\u885766\u53f7\u6587\u6b8a\u9662\u5185
风景名胜;风景名胜;风景名胜,青羊区,"104.041472,30.660578",文化公园-混元殿,\u4e00\u73af\u8def\u897f\u4e8c\u6bb59\u53f7\u9752\u7f8a\u5bab\u5185
风景名胜;风景名胜;风景名胜,简阳市,"104.682036,30.540480",玉皇观,\u4e00\u56db\u4e09\u4e61\u9053
风景名胜;风景名胜;风景名胜,彭州市,"103.769045,31.184216",小渔洞大桥遗址,\u5c0f\u6e14\u6d1e\u9547\u5f6d\u767d\u8def\u5c0f\u9c7c\u6d1e\u5927\u6865\u9057\u5740
风景名胜;风景名胜;风景名胜,蒲江县,"103.510905,30.198078",蒲江县东门桥,\u686b\u6924\u8def\u4e2d\u6bb5\u4e0e\u6cb3\u6ee8\u5357\u8def\u4ea4\u53c9\u53e3\u897f50\u7c73
风景名胜;风景名胜;风景名胜,武侯区,"104.049444,30.644462",三国圣地,\u6b66\u4faf\u7960\u5927\u8857231\u53f7\u6210\u90fd\u6b66\u4faf\u7960\u535a\u7269\u9986\u5185
风景名胜;风景名胜相关;旅游景点,郫都区,"103.824245,30.925692",大椿巷,\u897f\u8857\u4e0e\u5c0f\u5317\u8857\u4ea4\u6c47\u5904\u4e1c50\u7c73
风景名胜;风景名胜;风景名胜,都江堰市,"103.610739,31.004383",都江堰景区-5·12地震遗迹,\u79bb\u5806\u516c\u56ed\u8def\u90fd\u6c5f\u5830\u666f\u533a\u5185
购物服务;专卖店;专营店,龙泉驿区,"104.324072,30.638986",夏布文化体验馆,\u6d1b\u5e26\u53e4\u9547\u666f\u533a
风景名胜;风景名胜;风景名胜,简阳市,"104.703534,30.342375",玉皇观,\u4e00\u96f6\u4e00\u4e61\u9053
风景名胜;风景名胜;风景名胜,金堂县,"104.487599,30.736875",云顶山-遗址,023\u4e61\u9053\u897f50\u7c73
风景名胜;风景名胜相关;旅游景点,都江堰市,"103.589331,30.988657",杜鹃城遗址,\u53bf\u57ce\u4ee5\u5317\u4e00\u91cc\u8bb8
风景名胜;风景名胜;风景名胜,都江堰市,"103.609922,30.976436",西蜀财神第一塔,\u7389\u6cbf\u8def\u4e0eN17\u53bf\u9053\u4ea4\u53c9\u53e3\u897f150\u7c73
科教文化服务;博物馆;博物馆|商务住宅;产业园区;产业园区,温江区,"103.931485,30.724314",芙蓉长卷药博园,\u8299\u84c9\u5927\u9053\u4e0e\u6c38\u5b81\u5927\u9053\u4ea4\u6c47\u5904\u4e1c\u4fa7400\u7c73
风景名胜;风景名胜;风景名胜,蒲江县,"103.511780,30.161793",樱桃山旅游景区-沐心亭,\u671b\u660e\u8def\u4e0e\u82b1\u6837\u5e74\u82b1\u5f84\u4ea4\u53c9\u53e3\u897f150\u7c73
风景名胜;风景名胜;风景名胜,青羊区,"104.075269,30.665115",明会府遗址,\u5fe0\u70c8\u7960\u897f\u885743\u53f7\u96446\u53f7
风景名胜;风景名胜;风景名胜,青羊区,"104.071058,30.663571",王右木故居,\u53e4\u4e2d\u5e02\u88577\u53f7
风景名胜;风景名胜;国家级景点,武侯区,"104.048273,30.645826",惠陵,\u6b66\u4faf\u7960\u5927\u8857231\u53f7\u6b66\u4faf\u7960\u666f\u533a\u5185
风景名胜;风景名胜;风景名胜,大邑县,"103.620119,30.498653",抗战文物陈列·正面战场馆,\u53e4\u9547\u8fce\u5bbe\u8def80\u53f7(\u8fd1\u91d1\u6842\u516c\u9986\u9152\u5e97)\u5efa\u5ddd\u535a\u7269\u9986\u805a\u843d\u5185
风景名胜;风景名胜;风景名胜,邛崃市,"103.223950,30.249120",古蜀皇茶茶文化生态体验园,\u909b\u5d03\u5939\u5173\u9547\u97e9\u576a\u6751
风景名胜;风景名胜;寺庙道观,大邑县,"103.369454,30.554343",川王宫,\u5b89\u51fa\u8def\u531750\u7c73
风景名胜;风景名胜;风景名胜,青羊区,"104.073124,30.675201",文殊院-祖堂,\u6587\u6b8a\u9662\u885766\u53f7\u6587\u6b8a\u9662\u5185
生活服务;生活服务场所;生活服务场所,青羊区,"103.984910,30.672774",莲花公墓忠孝人文纪念公园,\u82cf\u5761\u4e2d\u8def104\u53f7\u9644\u8fd1
风景名胜;风景名胜;风景名胜,都江堰市,"103.612828,30.997738",都江堰景区-碑亭,\u79bb\u5806\u516c\u56ed\u8def\u90fd\u6c5f\u5830\u666f\u533a\u5185
风景名胜;风景名胜相关;旅游景点,彭州市,"104.020272,31.121037",正觉寺塔,\u767d\u5854\u575d
风景名胜;风景名胜;纪念馆,都江堰市,"103.620391,31.002295",都江堰市英烈纪念馆,\u5efa\u8bbe\u8def379\u53f7
风景名胜;风景名胜;寺庙道观,彭州市,"103.932056,30.979925",慈济堂,\u7e41\u6c5f\u5317\u8def\u4e0e\u7e41\u6c5f\u5357\u8def\u4ea4\u53c9\u53e3\u531750\u7c73
生活服务;丧葬设施;陵园,双流区,"104.024529,30.358650",双流烈士陵园,\u714e\u8336\u9547\u6cbf\u6eaa\u67513\u7ec4
风景名胜;风景名胜;纪念馆,崇州市,"103.678456,30.628379",宫保府,\u5d07\u9633\u8857\u9053\u5927\u4e1c\u8857306\u53f7
风景名胜;风景名胜;风景名胜,青羊区,"104.053617,30.663833",宽窄巷子文物挖掘遗址,\u5bbd\u5df7\u5b5031\u53f7
风景名胜;风景名胜;风景名胜,青羊区,"104.028205,30.661264",唐亭台遗址,\u8349\u5802\u8def28\u53f7\u6210\u90fd\u675c\u752b\u8349\u5802\u535a\u7269\u9986\u5185
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.310300,30.567713",真武山陵憩园,\u5c71\u6cc9\u9547\u6843\u82b1\u6545\u91cc\u666f\u533a\u9644\u8fd1
生活服务;丧葬设施;陵园,大邑县,"103.524404,30.594135",烈士陵园(滨河路中段),\u664b\u539f\u9547\u6ee8\u6cb3\u8def\u4e2d\u6bb5\u4eba\u6c11\u6cd5\u9662\u5317
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.333070,30.637264",洛带古镇-四方塔,\u6d1b\u5e26\u9547\u516b\u89d2\u4e95\u4e0a\u8857\u5c97\u4ead\u5bf9\u9762\u505c\u8f66\u573a
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.326591,30.531807",北周文王碑,318\u56fd\u9053
科教文化服务;展览馆;展览馆,青羊区,"103.929480,30.670068",中国书法馆,\u975e\u9057\u5927\u9053\u56fd\u9645\u975e\u7269\u8d28\u6587\u5316\u9057\u4ea7\u535a\u89c8\u4e2d\u5fc3\u9644\u8fd1
风景名胜;风景名胜;风景名胜,武侯区,"104.049114,30.647326",唐代银杏,\u6b66\u4faf\u7960\u5927\u8857231\u53f7\u6b66\u4faf\u7960\u666f\u533a\u5185
风景名胜;风景名胜;风景名胜,武侯区,"104.047645,30.647593",武侯祠美术馆荐馨殿,\u6b66\u4faf\u7960\u5927\u8857231\u53f7\u6b66\u4faf\u7960\u666f\u533a\u5185
科教文化服务;展览馆;展览馆,青羊区,"104.028810,30.659099",情系草堂文献图片资料展,\u8349\u5802\u8def28\u53f7\u6210\u90fd\u675c\u752b\u8349\u5802\u535a\u7269\u9986\u5185
风景名胜;风景名胜;寺庙道观,崇州市,"103.462502,30.798402",西竺道院,\u8336\u56ed\u6751\u4e61\u9053
科教文化服务;科教文化场所;科教文化场所,锦江区,"104.083723,30.659979",四川省作家协会巴金文学院,\u7ea2\u661f\u8def\u4e8c\u6bb585\u53f7\u56db\u5ddd\u7701\u4f5c\u5bb6\u534f\u4f1a
风景名胜;风景名胜;风景名胜,简阳市,"104.437886,30.249897",三清庙村,\u7b80\u4ec1\u8def
风景名胜;风景名胜相关;旅游景点,崇州市,"103.674040,30.626850",罨画池-大成殿,\u4e0a\u5357\u8857\u4e0e\u5b66\u5e9c\u8857\u4ea4\u53c9\u53e3\u4e1c\u5317200\u7c73
风景名胜;风景名胜;国家级景点,都江堰市,"103.622262,31.001039",柳河坊,\u5efa\u8bbe\u8def\u4e0e\u6768\u67f3\u6cb3\u8857\u4ea4\u53c9\u53e3\u897f\u535750\u7c73
风景名胜;风景名胜;风景名胜,锦江区,"104.101606,30.643806",聚星学堂旧址,\u5927\u7530\u574e\u8857143\u53f7
风景名胜;风景名胜;风景名胜,青羊区,"104.028267,30.661310",杜甫草堂-唐代遗址,\u8349\u5802\u8def28\u53f7\u6210\u90fd\u675c\u752b\u8349\u5802\u535a\u7269\u9986\u5185
风景名胜;风景名胜;纪念馆,郫都区,"103.888679,30.786573",成都工业学院陈毅纪念园,\u90eb\u90fd\u533a
风景名胜;风景名胜;风景名胜,新津县,"103.900900,30.487600",成都瞿上城遗址,\u5357\u5341\u516b\u91cc
风景名胜;风景名胜相关;旅游景点,新都区,"104.160717,30.831185",宝光寺-天台胜境,\u5b9d\u5149\u8857\u4e0e\u897f\u6731\u8def\u4ea4\u53c9\u53e3\u897f\u5317200\u7c73
地名地址信息;普通地名;村庄级地名,蒲江县,"103.331709,30.275626",明月窑,\u84b2\u6c5f\u53bf
生活服务;生活服务场所;生活服务场所,金牛区,"104.034689,30.719115",华侨城·品牌展示中心,\u91d1\u946b\u5927\u90538\u53f7\u9644\u8fd1
风景名胜;风景名胜;风景名胜,温江区,"103.834594,30.751153",鱼凫村遗址,\u90eb\u6e29\u8def\u4e1c150\u7c73
风景名胜;风景名胜;风景名胜,金堂县,"104.837363,30.519136",南华宫,\u5357\u534e\u885727\u9644\u8fd1
风景名胜;风景名胜;风景名胜,邛崃市,"103.311164,30.360489",芦沟竹海-邛人遗址,\u5e73\u4e50\u9547\u82a6\u6c9f\u7af9\u6d77\u5185
风景名胜;风景名胜;风景名胜,邛崃市,"103.299689,30.331191",金华山,\u5e73\u4e50\u9547
风景名胜;风景名胜;风景名胜,金堂县,"104.540407,30.663727",何氏故居,\u987a\u6c5f\u8857162\u53f7\u9644\u8fd1
购物服务;专卖店;珠宝首饰工艺品,都江堰市,"103.614646,30.997911",般若菩提,\u897f\u885765-67
风景名胜;风景名胜;风景名胜,邛崃市,"103.333978,30.344477",平乐古镇-太岁宫,\u53e4\u9547\u53e4\u620f\u53f0
风景名胜;风景名胜;风景名胜,大邑县,"103.429020,30.529717",新场古镇-百年历史影像馆,\u65b0\u573a\u9547\u5ddd\u897f\u575d\u5b50\u8bb0\u5fc6\u9986\u767e\u5e74\u5386\u53f2\u5f71\u50cf\u9986
风景名胜;风景名胜;纪念馆,大邑县,"103.618280,30.508787",安仁古镇-刘元瑄公馆,\u6811\u4eba\u885744\u53f7
风景名胜;风景名胜;国家级景点,新津县,"103.802659,30.368714",梨花溪风景区-清泉花海,\u68a8\u9a6c\u8def\u9644\u8fd1
风景名胜;风景名胜;风景名胜,武侯区,"104.047506,30.645571",腊梅林,\u6b66\u4faf\u7960\u5927\u8857231\u53f7\u6b66\u4faf\u7960\u666f\u533a\u5185
风景名胜;风景名胜;风景名胜,武侯区,"104.048520,30.557929",铁像寺水街-牌坊,\u76db\u5b89\u8857\u4e0e\u94c1\u50cf\u5bfa\u8def\u4ea4\u53c9\u53e3\u4e1c50\u7c73
风景名胜;风景名胜;纪念馆,武侯区,"104.093162,30.630756",望江楼公园-薛涛纪念馆,\u671b\u6c5f\u8def30\u53f7\u671b\u6c5f\u697c\u516c\u56ed
风景名胜;风景名胜;风景名胜,崇州市,"103.591010,30.667773",白塔寺-碧落书舍,\u9053\u660e\u9547\u767d\u5854\u5bfa
餐饮服务;茶艺馆;茶艺馆,武侯区,"104.001110,30.644603",观福萱,\u664b\u5409\u4e1c\u4e8c\u8857236\u53f7\u964437\u53f7
风景名胜;风景名胜相关;旅游景点,青羊区,"104.027718,30.660655",杜甫草堂-茅屋故居,\u8349\u5802\u8def28\u53f7\u6210\u90fd\u675c\u752b\u8349\u5802\u535a\u7269\u9986\u5185
风景名胜;风景名胜;风景名胜,武侯区,"104.047510,30.645900",静远堂,\u6b66\u4faf\u7960\u5927\u8857231\u53f7\u6210\u90fd\u6b66\u4faf\u7960\u535a\u7269\u9986\u5185
风景名胜;风景名胜;风景名胜,温江区,"103.819997,30.771994",寝园,\u6676\u4e03\u8def\u4e1c200\u7c73
风景名胜;风景名胜;风景名胜,双流区,"103.978048,30.304254",阿弥陀佛,\u7fa4\u5c0f\u8def
风景名胜;风景名胜;风景名胜,金牛区,"104.036246,30.676024",废墟,\u629a\u7434\u897f\u5357\u8def\u4e0e\u629a\u7434\u897f\u8def\u5357\u4e8c\u5df7\u4ea4\u53c9\u53e3\u897f\u5357150\u7c73
风景名胜;风景名胜;纪念馆,双流区,"104.024439,30.358711",双流烈士纪念馆,213\u56fd\u9053
风景名胜;风景名胜;寺庙道观,崇州市,"103.558032,30.811198",街子古镇-黄老殿,\u5ddd\u897f\u65c5\u6e38\u73af\u7ebf\u4e0e\u671d\u9633\u8def\u4ea4\u53c9\u53e3\u531750\u7c73
风景名胜;风景名胜;观景点,新都区,"104.053726,30.947110",乌木泉,\u6ee8\u6cb3\u8def\u5357150\u7c73
风景名胜;风景名胜;风景名胜,郫都区,"103.980164,30.783177",焦公亭,\u77f3\u4ead\u6751\u4e94\u7ec4
风景名胜;风景名胜;风景名胜,青羊区,"104.059424,30.655930",人民公园-望舟亭,\u6587\u7fc1\u8def\u4e0e\u897f\u5fa1\u8857\u4ea4\u53c9\u53e3\u897f150\u7c73
风景名胜;风景名胜;风景名胜,青羊区,"104.036583,30.657776",真言乘,\u8349\u5802\u4e1c\u8def66\u53f72\u53f7\u697c\u4e00\u697cA66116
风景名胜;风景名胜;风景名胜,温江区,"103.835603,30.696512",古城墙,\u6e29\u6cc9\u8def66\u53f7
风景名胜;风景名胜;寺庙道观,郫都区,"103.822968,30.926994",万世师表,\u7ff0\u6797\u5df7\u4e0e\u897f\u5317\u8def\u4ea4\u53c9\u53e3\u4e1c\u5357150\u7c73
风景名胜;风景名胜;风景名胜,青羊区,"104.056204,30.657190",人民公园-银杏阁,\u5305\u5bb6\u5df7\u4e0e\u5c0f\u5357\u8857\u4ea4\u53c9\u53e3\u4e1c150\u7c73
风景名胜;风景名胜;风景名胜,青羊区,"104.042785,30.662173",文化公园-唐王殿,\u4e00\u73af\u8def\u897f\u4e8c\u6bb59\u53f7\u9752\u7f8a\u5bab\u5185
风景名胜;风景名胜相关;旅游景点,郫都区,"103.824155,30.925323",杨靖中故居,\u5c0f\u5317\u8857\u4e0e\u897f\u8857\u4ea4\u53c9\u53e3\u4e1c\u5357100\u7c73
风景名胜;风景名胜相关;旅游景点,青羊区,"104.042629,30.662007",文化公园-玉皇殿,\u4e00\u73af\u8def\u897f\u4e8c\u6bb59\u53f7\u9752\u7f8a\u5bab\u5185
风景名胜;风景名胜;风景名胜,青羊区,"104.059485,30.656496",人民公园-四川美术协会故址,\u4e1c\u57ce\u6839\u5357\u8857\u4e0e\u7960\u5802\u8857\u4ea4\u53c9\u53e3\u897f150\u7c73
风景名胜;风景名胜相关;旅游景点,彭州市,"103.859328,31.322297",祖师殿,\u9752\u57ce\u5c71\u666f\u533a\u5185
风景名胜;风景名胜;风景名胜,彭州市,"103.767442,31.028573",古盘龙会纪念碑,\u4e30\u4e50\u5357\u8857\u4e0e\u5b98\u4ead\u8857\u4ea4\u53c9\u53e3\u4e1c\u531750\u7c73
风景名胜;风景名胜;风景名胜,新津县,"103.770100,30.356891",慵也谷,\u6c38\u5546\u9547\u5b9d\u6865\u6751
科教文化服务;科教文化场所;科教文化场所,都江堰市,"103.663845,30.972645",长征书院,\u53cb\u7231\u8def\u4e0e\u6c38\u4e30\u8def\u4ea4\u53c9\u53e3\u4e1c100\u7c73
风景名胜;风景名胜;纪念馆,大邑县,"103.615791,30.509942",安仁古镇-张旭初公馆,\u8fce\u5bbe\u8def\u4e8c\u6bb533\u53f7\u9644\u8fd1
风景名胜;风景名胜;寺庙道观,邛崃市,"103.415614,30.438475",竹园精舍,\u5929\u751f\u6865\u9644\u8fd1
风景名胜;风景名胜;纪念馆,邛崃市,"103.191933,30.447312",5·12地震异地安置纪念碑,\u6728\u68af\u53e3\u9644\u8fd1
风景名胜;风景名胜;寺庙道观,金堂县,"104.481391,30.746698",圆觉古刹,\u4e91\u77f3\u8def
风景名胜;风景名胜;风景名胜,成华区,"104.105058,30.656861",新华公园-悉灵深湖,\u53cc\u6797\u5317\u652f\u8def420\u53f7
风景名胜;风景名胜;风景名胜,彭州市,"103.902120,31.004090",金山观,\u5f6d\u767d\u8def\u897f50\u7c73
